Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2016,westchester,9.4,972634.0,86015.0,9855.0,2.6
2016,wyoming,11.9,41188.0,2689.0,367.0,
2016,yates,11.7,25208.0,2311.0,417.0,
2015,albany,12.6,306945.0,21828.0,2147.0,2.5
2015,allegany,11.9,48109.0,3452.0,501.0,
2015,broome,12.9,197534.0,15240.0,1619.0,3.4
2015,cattaraugus,12.3,78892.0,7373.0,1136.0,
2015,cayuga,11.1,79477.0,5880.0,746.0,
2015,chautauqua,12.6,133080.0,9931.0,1182.0,2.9
2015,chemung,12.9,88506.0,5965.0,757.0,2.2
2015,chenango,11.1,49503.0,4127.0,534.0,
2015,clinton,12.8,81591.0,5987.0,620.0,2.1
2015,columbia,10.0,62243.0,5243.0,657.0,2.6
2015,cortland,12.4,48976.0,3425.0,410.0,
2015,delaware,11.5,46722.0,3995.0,452.0,
2015,dutchess,10.2,296916.0,22425.0,3001.0,2.9
2015,erie,12.9,919866.0,59228.0,6383.0,6.7
2015,essex,11.9,38762.0,3160.0,427.0,
2015,franklin,13.1,51688.0,4844.0,706.0,
2015,fulton,13.3,54586.0,4575.0,534.0,
2015,genesee,10.6,59454.0,4853.0,632.0,
2015,greene,12.1,48455.0,3759.0,446.0,
2015,hamilton,9.3,4773.0,406.0,48.0,
2015,herkimer,12.0,64181.0,5338.0,624.0,
2015,jefferson,14.2,119504.0,9956.0,1344.0,1.9
2015,lewis,11.6,27149.0,2515.0,350.0,
2015,livingston,10.5,64705.0,4307.0,491.0,
2015,madison,10.5,72382.0,4907.0,640.0,
2015,monroe,12.8,749606.0,50741.0,6185.0,6.0
2015,montgomery,13.3,49897.0,4145.0,554.0,
2015,nassau,7.1,1352146.0,100899.0,12004.0,2.5
2015,niagara,12.3,214249.0,15888.0,1731.0,3.0
2015,oneida,12.5,233585.0,17837.0,2340.0,3.6
2015,onondaga,12.6,468387.0,33679.0,3959.0,4.6
2015,ontario,9.7,109103.0,6865.0,918.0,1.9
2015,orange,10.4,375592.0,31448.0,4201.0,3.2
2015,orleans,11.9,42235.0,3528.0,429.0,
2015,oswego,12.8,121165.0,9471.0,1141.0,1.8
2015,otsego,11.5,61683.0,4701.0,534.0,
2015,putnam,6.1,99645.0,7125.0,864.0,1.3
2015,rensselaer,11.5,159918.0,11005.0,1236.0,2.2
